customer_zip_code_prefix,lat,lng,city_norm,n_pedidos,valor_total,freight_total
22725,-22.91150171276762,-43.37652610722419,rio de janeiro,21,3100.9900000000002,496.4
22730,-22.920002522357752,-43.3695754073506,rio de janeiro,22,5331.27,505.48999999999995
22733,-22.906015750671408,-43.364980246342064,rio de janeiro,18,3219.84,353.06
22735,-22.920928532759326,-43.3584654815096,rio de janeiro,15,2154.98,507.66
22740,-22.92625659532195,-43.35975777828106,rio de janeiro,22,3718.74,679.08
22743,-22.930174278267923,-43.34644038809006,rio de janeiro,48,5392.98,1090.6200000000001
22745,-22.93505848017408,-43.33359407042855,rio de janeiro,31,4536.76,738.05
22750,-22.94338467090066,-43.33437919544068,rio de janeiro,49,5831.01,1195.26
22753,-22.96619236089961,-43.33073451387544,rio de janeiro,52,9949.93,1302.06
22755,-22.947502549436848,-43.33814210193203,rio de janeiro,19,2335.55,368.73
22760,-22.938856559491374,-43.34583380346626,rio de janeiro,16,2226.35,417.29
22763,-22.949418433889697,-43.38717689639774,rio de janeiro,15,2140.27,326.47
22765,-22.954431333815165,-43.35527342221761,rio de janeiro,25,4579.54,679.97
22770,-22.93691091371265,-43.36097335035081,rio de janeiro,46,5329.96,1030.71
22772,-22.95005017710918,-43.36084751104725,rio de janeiro,1,29.9,19.84
22773,-22.94846910030558,-43.364489898207424,rio de janeiro,9,804.58,177.11
22775,-22.969148201152677,-43.38306523796816,rio de janeiro,103,16328.19,2747.87
22776,-22.99004850815858,-43.35448107201586,rio de janeiro,11,1213.32,196.39
22780,-22.962843790439337,-43.40116578306731,rio de janeiro,48,6361.45,1152.62
22783,-22.984082408782115,-43.44889019919411,rio de janeiro,44,5413.76,990.75
22785,-22.979900329721087,-43.49176475913368,rio de janeiro,15,1410.98,285.8
22790,-23.01298650422646,-43.46551954103294,rio de janeiro,136,21785.21,3014.83
22793,-23.00061899109568,-43.40471828456725,rio de janeiro,116,16054.06,2801.79
22795,-23.020470737334893,-43.46265642068304,rio de janeiro,68,8942.54,1343.94
23010,-22.885872200386764,-43.51372891804045,rio de janeiro,10,2100.65,230.17000000000002
23012,-22.891289709125683,-43.528538034861306,rio de janeiro,5,1666.78,71.36
23013,-22.90125781010044,-43.541434503067336,rio de janeiro,11,1484.74,245.61
23015,-22.908174032805224,-43.53967787825952,rio de janeiro,4,478.58,60.92
23016,-22.912595307197087,-43.53593879115358,rio de janeiro,5,584.29,123.80000000000001
23017,-22.91957476261591,-43.52855570225305,rio de janeiro,16,1662.23,445.83
23020,-23.0049905225767,-43.54784520457546,rio de janeiro,17,2349.81,324.69
23025,-22.99046924798533,-43.61550570181899,rio de janeiro,4,623.88,101.11
23026,-22.99073734829478,-43.63045092144838,rio de janeiro,7,655.34,166.2
23027,-23.00123690831294,-43.64009513690838,rio de janeiro,1,40.0,22.21
23028,-22.98056296317437,-43.65998986714787,rio de janeiro,7,716.6,167.1
23030,-22.96669955681108,-43.6017686687425,rio de janeiro,12,1097.63,274.43
23031,-22.964378631240205,-43.61186736926677,rio de janeiro,6,471.79,80.62
23032,-22.972563998366837,-43.64295047031437,rio de janeiro,11,3148.59,275.8
23033,-22.955943986568656,-43.60659613358818,rio de janeiro,8,2094.38,214.02
23035,-22.945894102935657,-43.594457021538446,rio de janeiro,12,2189.19,354.29
23036,-22.937899966329617,-43.578646142633474,rio de janeiro,10,1326.92,222.66
23040,-22.9331056624521,-43.55411381012552,rio de janeiro,19,1770.08,454.23
23042,-22.92777932523722,-43.554503392883646,rio de janeiro,10,886.46,171.69
23045,-22.916840745702157,-43.56234010712124,rio de janeiro,23,3760.75,557.41
23047,-22.925942886418497,-43.56135750790765,rio de janeiro,6,1366.2300000000002,105.24
23050,-22.906374170614946,-43.566410061329776,rio de janeiro,16,3374.64,352.03
23052,-22.906619343447986,-43.55224985960651,rio de janeiro,18,3617.71,855.81
23055,-22.9099494896574,-43.5764230099429,rio de janeiro,13,1400.19,221.32
23056,-22.91817364118816,-43.6123717550704,rio de janeiro,5,373.78000000000003,85.81
23057,-22.917530927853,-43.52832489679447,rio de janeiro,7,452.59000000000003,193.23000000000002
23058,-22.914787266177115,-43.59078039553711,rio de janeiro,10,1053.19,194.85
23059,-22.913307945677737,-43.59042985137216,rio de janeiro,16,1443.3,256.62
23060,-22.896089584185965,-43.59889671190928,rio de janeiro,24,4553.76,519.86
23061,-22.908445285088447,-43.60810021286953,rio de janeiro,7,631.73,140.51
23062,-22.90265768897671,-43.59917193270753,rio de janeiro,8,615.4300000000001,214.7
23063,-22.897521961702388,-43.591752252623216,rio de janeiro,13,1921.02,345.31
