geolocation_zip_code_prefix,lat,lng,city,n_records
20776,-22.989315173013143,-43.34858461368386,rio de janeiro,1
20780,-22.8964631877728,-43.27217170225893,rio de janeiro,333
20785,-22.88659325431333,-43.26783420069855,rio de janeiro,153
20910,-22.899524395109882,-43.23052438041678,rio de janeiro,120
20911,-22.89314885311464,-43.242201014642525,rio de janeiro,93
20920,-22.89524485967227,-43.231902550437,rio de janeiro,103
20921,-22.893703236582244,-43.23151762119004,rio de janeiro,179
20930,-22.889979653251217,-43.22883289161473,rio de janeiro,163
20931,-22.880476502680093,-43.21772315263865,rio de janeiro,96
20932,-22.85332248950828,-43.397360098269154,rio de janeiro,1
20940,-22.90178148194564,-43.219200053257524,rio de janeiro,143
20941,-22.905038579309718,-43.218289836880224,rio de janeiro,125
20943,-22.907619844963776,-43.23590445490212,rio de janeiro,17
20950,-22.90399569141674,-43.25558609559154,rio de janeiro,297
20960,-22.899105988671952,-43.249321637815825,rio de janeiro,118
20961,-22.89892108854126,-43.26048783057711,rio de janeiro,53
20970,-22.89490962921127,-43.29895518595955,rio de janeiro,54
20972,-22.908149571852817,-43.26020630971305,rio de janeiro,5
20973,-22.89480299365888,-43.30460678807501,rio de janeiro,18
20975,-22.89442355697212,-43.251622708261415,rio de janeiro,45
21010,-22.823839184254716,-43.3063018523626,rio de janeiro,70
21011,-22.827727546600816,-43.2864223207302,rio de janeiro,242
21012,-22.835042850775064,-43.31263647240438,rio de janeiro,84
21020,-22.835828487618873,-43.27614378416555,rio de janeiro,360
21021,-22.84207289300327,-43.265065434319375,rio de janeiro,297
21030,-22.850002554499312,-43.263354020176415,rio de janeiro,49
21031,-22.84825657231105,-43.25613344368642,rio de janeiro,290
21032,-22.860396134014028,-43.25569271559795,rio de janeiro,133
21040,-22.858267172627272,-43.25269222978843,rio de janeiro,195
21041,-22.87144109880102,-43.258727578503766,rio de janeiro,123
21042,-22.86486541105725,-43.24870050352791,rio de janeiro,96
21043,-22.88658041606038,-43.2773189390998,rio de janeiro,13
21044,-22.857706333465654,-43.267186202026345,rio de janeiro,57
21046,-22.87178460618622,-43.25004020994305,rio de janeiro,46
21050,-22.875981704754974,-43.26005615466438,rio de janeiro,207
21051,-22.874222414375385,-43.26728790044959,rio de janeiro,166
21060,-22.857331891254034,-43.26363956816405,rio de janeiro,185
21061,-22.866391297064204,-43.271588010936235,rio de janeiro,147
21065,-22.87514003792104,-43.41383054038933,rio de janeiro,1
